MONTH,YEAR,Predicted_Cases,BARANGAY_ID
9,2021,0.0,0
10,2021,1.0,0
11,2021,2.0,0
12,2021,3.0,0
1,2022,0.0,0
2,2022,2.0,0
3,2022,2.0,0
4,2022,0.0,0
5,2022,0.0,0
6,2022,3.0,0
7,2022,6.0,0
8,2022,6.0,0
9,2022,0.0,0
10,2022,1.0,0
11,2022,1.0,0
12,2022,0.0,0
1,2023,1.0,0
2,2023,0.0,0
3,2023,0.0,0
4,2023,0.0,0
5,2023,0.0,0
6,2023,0.0,0
7,2023,1.0,0
8,2023,0.0,0
9,2023,1.0,0
10,2023,0.0,0
11,2023,4.0,0
12,2023,0.0,0
1,2024,1.0,0
2,2024,3.0,0
3,2024,0.0,0
4,2024,1.0,0
5,2024,0.0,0
6,2024,1.0,0
7,2024,1.0,0
8,2024,6.0,0
9,2024,5.0,0
10,2024,9.0,0
11,2024,3.0,0
12,2024,3.0,0
1,2010,2.0,1
2,2010,0.0,1
3,2010,0.0,1
4,2010,0.0,1
5,2010,0.0,1
6,2010,0.0,1
7,2010,1.0,1
8,2010,2.0,1
9,2010,7.0,1
10,2010,1.0,1
11,2010,1.0,1
12,2010,1.0,1
1,2011,2.0,1
2,2011,3.0,1
3,2011,1.0,1
4,2011,0.0,1
5,2011,0.0,1
6,2011,4.0,1
7,2011,4.0,1
8,2011,6.0,1
9,2011,2.0,1
10,2011,0.0,1
11,2011,1.0,1
12,2011,0.0,1
1,2012,2.0,1
2,2012,2.0,1
3,2012,1.0,1
4,2012,0.0,1
5,2012,2.0,1
6,2012,2.0,1
7,2012,2.0,1
8,2012,10.0,1
9,2012,11.0,1
10,2012,5.0,1
11,2012,3.0,1
12,2012,5.0,1
1,2013,1.0,1
2,2013,1.0,1
3,2013,1.0,1
4,2013,0.0,1
5,2013,0.0,1
6,2013,0.0,1
7,2013,0.0,1
8,2013,1.0,1
9,2013,3.0,1
10,2013,2.0,1
11,2013,6.0,1
12,2013,1.0,1
1,2014,2.0,1
2,2014,2.0,1
3,2014,1.0,1
4,2014,0.0,1
5,2014,2.0,1
6,2014,2.0,1
7,2014,2.0,1
8,2014,10.0,1
9,2014,11.0,1
10,2014,5.0,1
11,2014,3.0,1
12,2014,5.0,1
1,2015,1.0,1
2,2015,4.0,1
3,2015,0.0,1
4,2015,0.0,1
5,2015,0.0,1
6,2015,1.0,1
7,2015,3.0,1
8,2015,9.0,1
9,2015,14.0,1
10,2015,30.0,1
11,2015,18.0,1
12,2015,1.0,1
1,2016,1.0,1
2,2016,2.0,1
3,2016,0.0,1
4,2016,0.0,1
5,2016,0.0,1
6,2016,1.0,1
7,2016,0.0,1
8,2016,3.0,1
9,2016,2.0,1
10,2016,1.0,1
11,2016,3.0,1
12,2016,1.0,1
1,2017,1.0,1
2,2017,0.0,1
3,2017,1.0,1
4,2017,1.0,1
5,2017,0.0,1
6,2017,0.0,1
7,2017,0.0,1
8,2017,5.0,1
9,2017,4.0,1
10,2017,2.0,1
11,2017,2.0,1
12,2017,1.0,1
1,2018,5.0,1
2,2018,2.0,1
3,2018,2.0,1
4,2018,0.0,1
5,2018,1.0,1
6,2018,0.0,1
7,2018,0.0,1
8,2018,6.0,1
9,2018,5.0,1
10,2018,9.0,1
11,2018,10.0,1
12,2018,3.0,1
1,2019,6.0,1
2,2019,2.0,1
3,2019,1.0,1
4,2019,0.0,1
5,2019,1.0,1
6,2019,2.0,1
7,2019,8.0,1
8,2019,24.0,1
9,2019,44.0,1
10,2019,13.0,1
11,2019,11.0,1
12,2019,2.0,1
1,2020,2.0,1
2,2020,1.0,1
3,2020,0.0,1
4,2020,0.0,1
5,2020,0.0,1
6,2020,1.0,1
7,2020,0.0,1
8,2020,0.0,1
9,2020,0.0,1
10,2020,0.0,1
11,2020,0.0,1
12,2020,1.0,1
1,2021,1.0,1
2,2021,6.0,1
3,2021,3.0,1
4,2021,0.0,1
5,2021,0.0,1
6,2021,0.0,1
7,2021,0.0,1
8,2021,0.0,1
9,2021,3.0,1
10,2021,2.0,1
11,2021,7.0,1
12,2021,2.0,1
1,2022,0.0,1
2,2022,1.0,1
3,2022,1.0,1
4,2022,0.0,1
5,2022,0.0,1
6,2022,0.0,1
7,2022,0.0,1
8,2022,3.0,1
9,2022,3.0,1
10,2022,2.0,1
11,2022,1.0,1
12,2022,0.0,1
1,2023,1.0,1
2,2023,1.0,1
3,2023,0.0,1
4,2023,0.0,1
5,2023,1.0,1
6,2023,0.0,1
7,2023,0.0,1
8,2023,1.0,1
9,2023,0.0,1
10,2023,0.0,1
11,2023,1.0,1
12,2023,0.0,1
1,2024,1.0,1
2,2024,1.0,1
3,2024,0.0,1
4,2024,0.0,1
5,2024,0.0,1
6,2024,0.0,1
7,2024,2.0,1
8,2024,7.0,1
9,2024,18.0,1
10,2024,13.0,1
11,2024,15.0,1
12,2024,10.0,1
1,2010,0.0,2
2,2010,0.0,2
3,2010,0.0,2
4,2010,0.0,2
5,2010,0.0,2
6,2010,0.0,2
7,2010,0.0,2
8,2010,0.0,2
9,2010,0.0,2
10,2010,0.0,2
11,2010,1.0,2
12,2010,1.0,2
1,2011,0.0,2
2,2011,0.0,2
3,2011,0.0,2
4,2011,0.0,2
5,2011,0.0,2
6,2011,0.0,2
7,2011,0.0,2
8,2011,1.0,2
9,2011,2.0,2
10,2011,1.0,2
11,2011,2.0,2
12,2011,0.0,2
1,2012,0.0,2
2,2012,0.0,2
3,2012,0.0,2
4,2012,0.0,2
5,2012,0.0,2
6,2012,1.0,2
7,2012,0.0,2
8,2012,0.0,2
9,2012,2.0,2
10,2012,1.0,2
11,2012,0.0,2
12,2012,1.0,2
1,2013,0.0,2
2,2013,0.0,2
3,2013,0.0,2
4,2013,0.0,2
5,2013,0.0,2
6,2013,0.0,2
7,2013,2.0,2
8,2013,2.0,2
9,2013,0.0,2
10,2013,1.0,2
11,2013,1.0,2
12,2013,0.0,2
1,2014,0.0,2
2,2014,0.0,2
3,2014,0.0,2
4,2014,0.0,2
5,2014,0.0,2
6,2014,1.0,2
7,2014,0.0,2
8,2014,0.0,2
9,2014,2.0,2
10,2014,1.0,2
11,2014,0.0,2
12,2014,1.0,2
1,2015,1.0,2
2,2015,0.0,2
3,2015,0.0,2
4,2015,0.0,2
5,2015,0.0,2
6,2015,0.0,2
7,2015,1.0,2
8,2015,1.0,2
9,2015,7.0,2
10,2015,8.0,2
11,2015,2.0,2
12,2015,0.0,2
1,2016,1.0,2
2,2016,0.0,2
3,2016,0.0,2
4,2016,0.0,2
5,2016,0.0,2
6,2016,0.0,2
7,2016,0.0,2
8,2016,1.0,2
9,2016,3.0,2
10,2016,0.0,2
11,2016,2.0,2
12,2016,2.0,2
1,2017,0.0,2
2,2017,0.0,2
3,2017,0.0,2
4,2017,0.0,2
5,2017,0.0,2
6,2017,1.0,2
7,2017,0.0,2
8,2017,0.0,2
9,2017,1.0,2
10,2017,0.0,2
11,2017,2.0,2
12,2017,1.0,2
1,2018,1.0,2
2,2018,1.0,2
3,2018,0.0,2
4,2018,0.0,2
5,2018,0.0,2
6,2018,0.0,2
7,2018,0.0,2
8,2018,1.0,2
9,2018,4.0,2
10,2018,7.0,2
11,2018,2.0,2
12,2018,0.0,2
1,2019,0.0,2
2,2019,0.0,2
3,2019,0.0,2
4,2019,0.0,2
5,2019,0.0,2
6,2019,0.0,2
7,2019,1.0,2
8,2019,5.0,2
9,2019,14.0,2
10,2019,3.0,2
11,2019,3.0,2
12,2019,0.0,2
1,2020,0.0,2
2,2020,1.0,2
3,2020,0.0,2
4,2020,0.0,2
5,2020,0.0,2
6,2020,0.0,2
7,2020,0.0,2
8,2020,0.0,2
9,2020,0.0,2
10,2020,1.0,2
11,2020,0.0,2
12,2020,0.0,2
1,2021,2.0,2
2,2021,1.0,2
3,2021,1.0,2
4,2021,1.0,2
5,2021,0.0,2
6,2021,0.0,2
7,2021,0.0,2
8,2021,0.0,2
9,2021,1.0,2
10,2021,0.0,2
11,2021,0.0,2
12,2021,1.0,2
1,2022,0.0,2
2,2022,0.0,2
3,2022,0.0,2
4,2022,0.0,2
5,2022,0.0,2
6,2022,0.0,2
7,2022,0.0,2
8,2022,0.0,2
9,2022,0.0,2
10,2022,0.0,2
11,2022,0.0,2
12,2022,0.0,2
1,2023,1.0,2
2,2023,0.0,2
3,2023,0.0,2
4,2023,0.0,2
5,2023,0.0,2
6,2023,0.0,2
7,2023,1.0,2
8,2023,0.0,2
9,2023,0.0,2
10,2023,0.0,2
11,2023,0.0,2
12,2023,0.0,2
1,2024,0.0,2
2,2024,0.0,2
3,2024,0.0,2
4,2024,0.0,2
5,2024,0.0,2
6,2024,0.0,2
7,2024,1.0,2
8,2024,0.0,2
9,2024,2.0,2
10,2024,5.0,2
11,2024,3.0,2
12,2024,2.0,2
1,2010,0.0,3
2,2010,0.0,3
3,2010,0.0,3
4,2010,0.0,3
5,2010,0.0,3
6,2010,0.0,3
7,2010,0.0,3
8,2010,0.0,3
9,2010,1.0,3
10,2010,5.0,3
11,2010,1.0,3
12,2010,1.0,3
1,2011,2.0,3
2,2011,2.0,3
3,2011,0.0,3
4,2011,0.0,3
5,2011,0.0,3
6,2011,0.0,3
7,2011,0.0,3
8,2011,0.0,3
9,2011,1.0,3
10,2011,0.0,3
11,2011,2.0,3
12,2011,0.0,3
1,2012,1.0,3
2,2012,0.0,3
3,2012,0.0,3
4,2012,0.0,3
5,2012,0.0,3
6,2012,1.0,3
7,2012,0.0,3
8,2012,1.0,3
9,2012,0.0,3
10,2012,0.0,3
11,2012,1.0,3
12,2012,0.0,3
1,2013,0.0,3
2,2013,0.0,3
3,2013,0.0,3
4,2013,0.0,3
5,2013,0.0,3
6,2013,0.0,3
7,2013,1.0,3
8,2013,2.0,3
9,2013,4.0,3
10,2013,0.0,3
11,2013,0.0,3
12,2013,1.0,3
1,2014,1.0,3
2,2014,0.0,3
3,2014,0.0,3
4,2014,0.0,3
5,2014,0.0,3
6,2014,1.0,3
7,2014,0.0,3
8,2014,1.0,3
9,2014,0.0,3
10,2014,0.0,3
11,2014,1.0,3
12,2014,0.0,3
1,2015,0.0,3
2,2015,0.0,3
3,2015,0.0,3
4,2015,1.0,3
5,2015,0.0,3
6,2015,0.0,3
7,2015,0.0,3
8,2015,3.0,3
9,2015,7.0,3
10,2015,9.0,3
11,2015,4.0,3
12,2015,2.0,3
1,2016,1.0,3
2,2016,0.0,3
3,2016,0.0,3
4,2016,1.0,3
5,2016,0.0,3
6,2016,0.0,3
7,2016,0.0,3
8,2016,2.0,3
9,2016,0.0,3
10,2016,0.0,3
11,2016,1.0,3
12,2016,0.0,3
1,2017,0.0,3
2,2017,1.0,3
3,2017,0.0,3
4,2017,0.0,3
5,2017,0.0,3
6,2017,0.0,3
7,2017,1.0,3
8,2017,1.0,3
9,2017,0.0,3
10,2017,0.0,3
11,2017,0.0,3
12,2017,0.0,3
1,2018,4.0,3
2,2018,1.0,3
3,2018,1.0,3
4,2018,0.0,3
5,2018,0.0,3
6,2018,0.0,3
7,2018,0.0,3
8,2018,2.0,3
9,2018,0.0,3
10,2018,2.0,3
11,2018,8.0,3
12,2018,3.0,3
1,2019,1.0,3
2,2019,1.0,3
3,2019,0.0,3
4,2019,0.0,3
5,2019,0.0,3
6,2019,2.0,3
7,2019,6.0,3
8,2019,27.0,3
9,2019,32.0,3
10,2019,5.0,3
11,2019,6.0,3
12,2019,3.0,3
1,2020,1.0,3
2,2020,2.0,3
3,2020,2.0,3
4,2020,0.0,3
5,2020,0.0,3
6,2020,0.0,3
7,2020,0.0,3
8,2020,0.0,3
9,2020,0.0,3
10,2020,0.0,3
11,2020,0.0,3
12,2020,1.0,3
1,2021,3.0,3
2,2021,1.0,3
3,2021,1.0,3
4,2021,0.0,3
5,2021,1.0,3
6,2021,0.0,3
7,2021,0.0,3
8,2021,0.0,3
9,2021,0.0,3
10,2021,1.0,3
11,2021,1.0,3
12,2021,0.0,3
1,2022,0.0,3
2,2022,0.0,3
3,2022,0.0,3
4,2022,0.0,3
5,2022,0.0,3
6,2022,1.0,3
7,2022,0.0,3
8,2022,1.0,3
9,2022,1.0,3
10,2022,0.0,3
11,2022,2.0,3
12,2022,1.0,3
1,2023,0.0,3
2,2023,1.0,3
3,2023,0.0,3
4,2023,0.0,3
5,2023,0.0,3
6,2023,1.0,3
7,2023,0.0,3
8,2023,0.0,3
9,2023,0.0,3
10,2023,0.0,3
11,2023,0.0,3
12,2023,0.0,3
1,2024,0.0,3
2,2024,0.0,3
3,2024,0.0,3
4,2024,0.0,3
5,2024,0.0,3
6,2024,0.0,3
7,2024,0.0,3
8,2024,2.0,3
9,2024,1.0,3
10,2024,3.0,3
11,2024,4.0,3
12,2024,16.0,3
1,2010,0.0,4
2,2010,0.0,4
3,2010,0.0,4
4,2010,0.0,4
5,2010,0.0,4
6,2010,0.0,4
7,2010,0.0,4
8,2010,1.0,4
9,2010,1.0,4
10,2010,2.0,4
11,2010,0.0,4
12,2010,2.0,4
1,2011,0.0,4
2,2011,0.0,4
3,2011,0.0,4
4,2011,0.0,4
5,2011,0.0,4
6,2011,0.0,4
7,2011,1.0,4
8,2011,1.0,4
9,2011,1.0,4
10,2011,1.0,4
11,2011,0.0,4
12,2011,0.0,4
1,2012,3.0,4
2,2012,0.0,4
3,2012,0.0,4
4,2012,2.0,4
5,2012,0.0,4
6,2012,0.0,4
7,2012,1.0,4
8,2012,3.0,4
9,2012,2.0,4
10,2012,4.0,4
11,2012,2.0,4
12,2012,0.0,4
1,2013,1.0,4
2,2013,1.0,4
3,2013,0.0,4
4,2013,0.0,4
5,2013,0.0,4
6,2013,2.0,4
7,2013,0.0,4
8,2013,2.0,4
9,2013,1.0,4
10,2013,5.0,4
11,2013,0.0,4
12,2013,1.0,4
1,2014,3.0,4
2,2014,0.0,4
3,2014,0.0,4
4,2014,2.0,4
5,2014,0.0,4
6,2014,0.0,4
7,2014,1.0,4
8,2014,3.0,4
9,2014,2.0,4
10,2014,4.0,4
11,2014,2.0,4
12,2014,0.0,4
1,2015,1.0,4
2,2015,0.0,4
3,2015,0.0,4
4,2015,0.0,4
5,2015,0.0,4
6,2015,0.0,4
7,2015,0.0,4
8,2015,2.0,4
9,2015,4.0,4
10,2015,0.0,4
11,2015,5.0,4
12,2015,2.0,4
1,2016,1.0,4
2,2016,0.0,4
3,2016,0.0,4
4,2016,0.0,4
5,2016,0.0,4
6,2016,2.0,4
7,2016,0.0,4
8,2016,0.0,4
9,2016,0.0,4
10,2016,2.0,4
11,2016,2.0,4
12,2016,0.0,4
1,2017,0.0,4
2,2017,0.0,4
3,2017,0.0,4
4,2017,0.0,4
5,2017,0.0,4
6,2017,0.0,4
7,2017,0.0,4
8,2017,1.0,4
9,2017,2.0,4
10,2017,1.0,4
11,2017,1.0,4
12,2017,1.0,4
1,2018,1.0,4
2,2018,0.0,4
3,2018,0.0,4
4,2018,0.0,4
5,2018,0.0,4
6,2018,0.0,4
7,2018,0.0,4
8,2018,2.0,4
9,2018,2.0,4
10,2018,0.0,4
11,2018,2.0,4
12,2018,0.0,4
1,2019,1.0,4
2,2019,1.0,4
3,2019,0.0,4
4,2019,0.0,4
5,2019,1.0,4
6,2019,3.0,4
7,2019,6.0,4
8,2019,7.0,4
9,2019,11.0,4
10,2019,1.0,4
11,2019,1.0,4
12,2019,0.0,4
1,2020,1.0,4
2,2020,1.0,4
3,2020,0.0,4
4,2020,0.0,4
5,2020,0.0,4
6,2020,0.0,4
7,2020,0.0,4
8,2020,0.0,4
9,2020,0.0,4
10,2020,0.0,4
11,2020,0.0,4
12,2020,0.0,4
1,2021,2.0,4
2,2021,0.0,4
3,2021,0.0,4
4,2021,0.0,4
5,2021,3.0,4
6,2021,1.0,4
7,2021,4.0,4
8,2021,0.0,4
9,2021,0.0,4
10,2021,1.0,4
11,2021,7.0,4
12,2021,0.0,4
1,2022,0.0,4
2,2022,0.0,4
3,2022,0.0,4
4,2022,1.0,4
5,2022,0.0,4
6,2022,0.0,4
7,2022,0.0,4
8,2022,0.0,4
9,2022,0.0,4
10,2022,1.0,4
11,2022,1.0,4
12,2022,0.0,4
1,2023,0.0,4
2,2023,1.0,4
3,2023,0.0,4
4,2023,0.0,4
5,2023,0.0,4
6,2023,0.0,4
7,2023,1.0,4
8,2023,0.0,4
9,2023,0.0,4
10,2023,0.0,4
11,2023,0.0,4
12,2023,0.0,4
1,2024,0.0,4
2,2024,1.0,4
3,2024,0.0,4
4,2024,0.0,4
5,2024,0.0,4
6,2024,0.0,4
7,2024,0.0,4
8,2024,3.0,4
9,2024,5.0,4
10,2024,6.0,4
11,2024,4.0,4
12,2024,1.0,4
1,2010,0.0,5
2,2010,0.0,5
3,2010,0.0,5
4,2010,0.0,5
5,2010,0.0,5
6,2010,0.0,5
7,2010,0.0,5
8,2010,1.0,5
9,2010,0.0,5
10,2010,1.0,5
11,2010,0.0,5
12,2010,0.0,5
1,2011,1.0,5
2,2011,0.0,5
3,2011,0.0,5
4,2011,0.0,5
5,2011,0.0,5
6,2011,0.0,5
7,2011,0.0,5
8,2011,0.0,5
9,2011,1.0,5
10,2011,0.0,5
11,2011,0.0,5
12,2011,0.0,5
1,2012,0.0,5
2,2012,0.0,5
3,2012,0.0,5
4,2012,0.0,5
5,2012,0.0,5
6,2012,1.0,5
7,2012,1.0,5
8,2012,0.0,5
9,2012,2.0,5
10,2012,0.0,5
11,2012,0.0,5
12,2012,1.0,5
1,2013,0.0,5
2,2013,0.0,5
3,2013,0.0,5
4,2013,0.0,5
5,2013,0.0,5
6,2013,0.0,5
7,2013,0.0,5
8,2013,1.0,5
9,2013,3.0,5
10,2013,1.0,5
11,2013,0.0,5
12,2013,0.0,5
1,2014,0.0,5
2,2014,0.0,5
3,2014,0.0,5
4,2014,0.0,5
5,2014,0.0,5
6,2014,1.0,5
7,2014,1.0,5
8,2014,0.0,5
9,2014,2.0,5
10,2014,0.0,5
11,2014,0.0,5
12,2014,1.0,5
1,2015,2.0,5
2,2015,1.0,5
3,2015,0.0,5
4,2015,1.0,5
5,2015,0.0,5
6,2015,0.0,5
7,2015,6.0,5
8,2015,8.0,5
9,2015,5.0,5
10,2015,10.0,5
11,2015,4.0,5
12,2015,0.0,5
1,2016,3.0,5
2,2016,0.0,5
3,2016,0.0,5
4,2016,0.0,5
5,2016,0.0,5
6,2016,0.0,5
7,2016,2.0,5
8,2016,0.0,5
9,2016,1.0,5
10,2016,0.0,5
11,2016,1.0,5
12,2016,0.0,5
1,2017,0.0,5
2,2017,0.0,5
3,2017,0.0,5
4,2017,0.0,5
5,2017,0.0,5
6,2017,0.0,5
7,2017,1.0,5
8,2017,1.0,5
9,2017,2.0,5
10,2017,0.0,5
11,2017,0.0,5
12,2017,2.0,5
1,2018,1.0,5
2,2018,2.0,5
3,2018,0.0,5
4,2018,0.0,5
5,2018,0.0,5
6,2018,0.0,5
7,2018,0.0,5
8,2018,0.0,5
9,2018,0.0,5
10,2018,0.0,5
11,2018,3.0,5
12,2018,3.0,5
1,2019,1.0,5
2,2019,0.0,5
3,2019,0.0,5
4,2019,1.0,5
5,2019,0.0,5
6,2019,1.0,5
7,2019,5.0,5
8,2019,6.0,5
9,2019,17.0,5
10,2019,7.0,5
11,2019,9.0,5
12,2019,3.0,5
1,2020,2.0,5
2,2020,1.0,5
3,2020,2.0,5
4,2020,0.0,5
5,2020,0.0,5
6,2020,0.0,5
7,2020,0.0,5
8,2020,0.0,5
9,2020,0.0,5
10,2020,2.0,5
11,2020,0.0,5
12,2020,0.0,5
1,2021,0.0,5
2,2021,0.0,5
3,2021,0.0,5
4,2021,0.0,5
5,2021,0.0,5
6,2021,0.0,5
7,2021,0.0,5
8,2021,1.0,5
9,2021,1.0,5
10,2021,3.0,5
11,2021,1.0,5
12,2021,1.0,5
1,2022,0.0,5
2,2022,2.0,5
3,2022,0.0,5
4,2022,0.0,5
5,2022,0.0,5
6,2022,0.0,5
7,2022,0.0,5
8,2022,0.0,5
9,2022,0.0,5
10,2022,0.0,5
11,2022,1.0,5
12,2022,0.0,5
1,2023,0.0,5
2,2023,0.0,5
3,2023,1.0,5
4,2023,0.0,5
5,2023,0.0,5
6,2023,0.0,5
7,2023,0.0,5
8,2023,0.0,5
9,2023,1.0,5
10,2023,0.0,5
11,2023,0.0,5
12,2023,0.0,5
1,2024,0.0,5
2,2024,0.0,5
3,2024,0.0,5
4,2024,0.0,5
5,2024,1.0,5
6,2024,0.0,5
7,2024,0.0,5
8,2024,3.0,5
9,2024,2.0,5
10,2024,3.0,5
11,2024,6.0,5
12,2024,1.0,5
1,2010,0.0,6
2,2010,0.0,6
3,2010,0.0,6
4,2010,0.0,6
5,2010,0.0,6
6,2010,0.0,6
7,2010,0.0,6
8,2010,0.0,6
9,2010,0.0,6
10,2010,1.0,6
11,2010,0.0,6
12,2010,0.0,6
1,2011,0.0,6
2,2011,0.0,6
3,2011,0.0,6
4,2011,0.0,6
5,2011,1.0,6
6,2011,0.0,6
7,2011,0.0,6
8,2011,4.0,6
9,2011,0.0,6
10,2011,0.0,6
11,2011,0.0,6
12,2011,0.0,6
1,2012,0.0,6
2,2012,0.0,6
3,2012,0.0,6
4,2012,0.0,6
5,2012,0.0,6
6,2012,0.0,6
7,2012,2.0,6
8,2012,0.0,6
9,2012,0.0,6
10,2012,0.0,6
11,2012,0.0,6
12,2012,0.0,6
1,2013,0.0,6
2,2013,0.0,6
3,2013,0.0,6
4,2013,0.0,6
5,2013,0.0,6
6,2013,0.0,6
7,2013,0.0,6
8,2013,0.0,6
9,2013,0.0,6
10,2013,0.0,6
11,2013,0.0,6
12,2013,1.0,6
1,2014,0.0,6
2,2014,0.0,6
3,2014,0.0,6
4,2014,0.0,6
5,2014,0.0,6
6,2014,0.0,6
7,2014,2.0,6
8,2014,0.0,6
9,2014,0.0,6
10,2014,0.0,6
11,2014,0.0,6
12,2014,0.0,6
1,2015,1.0,6
2,2015,0.0,6
3,2015,0.0,6
4,2015,0.0,6
5,2015,0.0,6
6,2015,0.0,6
7,2015,0.0,6
8,2015,0.0,6
9,2015,1.0,6
10,2015,4.0,6
11,2015,2.0,6
12,2015,0.0,6
1,2016,0.0,6
2,2016,1.0,6
3,2016,0.0,6
4,2016,0.0,6
5,2016,0.0,6
6,2016,0.0,6
7,2016,2.0,6
8,2016,0.0,6
9,2016,2.0,6
10,2016,0.0,6
11,2016,0.0,6
12,2016,0.0,6
1,2017,0.0,6
2,2017,0.0,6
3,2017,0.0,6
4,2017,0.0,6
5,2017,0.0,6
6,2017,0.0,6
7,2017,0.0,6
8,2017,1.0,6
9,2017,1.0,6
10,2017,1.0,6
11,2017,0.0,6
12,2017,0.0,6
1,2018,1.0,6
2,2018,1.0,6
3,2018,0.0,6
4,2018,0.0,6
5,2018,0.0,6
6,2018,0.0,6
7,2018,0.0,6
8,2018,0.0,6
9,2018,0.0,6
10,2018,0.0,6
11,2018,1.0,6
12,2018,0.0,6
1,2019,0.0,6
2,2019,0.0,6
3,2019,1.0,6
4,2019,0.0,6
5,2019,0.0,6
6,2019,0.0,6
7,2019,0.0,6
8,2019,6.0,6
9,2019,6.0,6
10,2019,6.0,6
11,2019,2.0,6
12,2019,2.0,6
1,2020,1.0,6
2,2020,0.0,6
3,2020,1.0,6
4,2020,0.0,6
5,2020,0.0,6
6,2020,0.0,6
7,2020,0.0,6
8,2020,0.0,6
9,2020,0.0,6
10,2020,0.0,6
11,2020,1.0,6
12,2020,0.0,6
1,2021,0.0,6
2,2021,1.0,6
3,2021,1.0,6
4,2021,0.0,6
5,2021,0.0,6
6,2021,1.0,6
7,2021,0.0,6
8,2021,0.0,6
9,2021,0.0,6
10,2021,0.0,6
11,2021,0.0,6
12,2021,0.0,6
1,2022,0.0,6
2,2022,0.0,6
3,2022,0.0,6
4,2022,0.0,6
5,2022,0.0,6
6,2022,0.0,6
7,2022,0.0,6
8,2022,0.0,6
9,2022,1.0,6
10,2022,0.0,6
11,2022,0.0,6
12,2022,0.0,6
1,2023,0.0,6
2,2023,0.0,6
3,2023,0.0,6
4,2023,0.0,6
5,2023,0.0,6
6,2023,0.0,6
7,2023,0.0,6
8,2023,0.0,6
9,2023,1.0,6
10,2023,0.0,6
11,2023,0.0,6
12,2023,0.0,6
1,2024,0.0,6
2,2024,1.0,6
3,2024,0.0,6
4,2024,0.0,6
5,2024,0.0,6
6,2024,0.0,6
7,2024,1.0,6
8,2024,0.0,6
9,2024,1.0,6
10,2024,4.0,6
11,2024,0.0,6
12,2024,2.0,6
1,2010,0.0,7
2,2010,0.0,7
3,2010,0.0,7
4,2010,0.0,7
5,2010,0.0,7
6,2010,0.0,7
7,2010,0.0,7
